Name,C1,C2,C3,C4,C5,C6,C7,C8,C9
R1,#f7fcfd,#cdece6,#9dd9ca,#6ec6aa,#4ab888,#2aa15f,#007e37,#005c21,#00451a
R2,#f7fcfd,#c8d7e9,#9db4d7,#9392c5,#9274b6,#9056aa,#8c2f94,#7b006d,#4f004b
R3,#f6fcf0,#d0eecb,#9cdab4,#7eccc3,#69bed3,#53a3cc,#4081b9,#3463aa,#293e81
R4,#fef7ec,#fae4bd,#f7cb93,#f9ab72,#f68b58,#ea6247,#d43021,#9c0000,#7d0001
R5,#fff7fb,#ded9eb,#b7c2de,#8cafd3,#5c98c5,#3d80bc,#3267a6,#224f7a,#163758
R6,#fff7fb,#dad5e9,#aabcdb,#75aad0,#468cbc,#2a839f,#157d7a,#026a55,#014636
R7,#f8fbff,#d2e0f2,#a5cae2,#7fb3d9,#5c97ca,#477ebd,#3b64ae,#2e4894,#222e6b
R8,#f6fcf5,#d8f1d4,#b7e5b4,#93d692,#66c271,#29a455,#007e38,#005c1d,#00451a
R9,#f7f4f9,#dbc6e1,#cd9bcb,#d47abc,#e454a9,#e51c85,#cc0c57,#950043,#660020
R10,#fef7f3,#facfca,#f9adb7,#f98caf,#f665a1,#e1359a,#ab007d,#7f0078,#4f006a
R11,#fcffe5,#fdffc6,#d7f3a4,#a3dd8b,#6ac475,#2ba556,#0f7f3f,#006033,#004529
R12,#fbffd9,#daf4b0,#9ddab7,#62c0c0,#40a1c4,#3d7bb7,#3f54a5,#3c2e93,#1c1b58
R13,#fcffe5,#f9f5b6,#f6dd7f,#f6c54d,#f8a22c,#ea7616,#bf4502,#8e3206,#642506
R14,#faffcb,#f8e994,#f7cb60,#f6a443,#fb8039,#f9522d,#d2001e,#ac0e2d,#7e0027
R15,#fef5eb,#faddbb,#f7c68f,#f7ad68,#f89343,#ef711a,#cf4303,#a43604,#7c2705
R16,#fcfbfd,#dcd9eb,#bdb9db,#a399c8,#887cbb,#7960ac,#6f449f,#602591,#4a007e
R17,#fef5f0,#fad3bf,#f8b195,#f79271,#f67151,#f04331,#bb0e1b,#911215,#65000e
R18,#885109,#bb842e,#d2b365,#e6daa2,#fcf3e5,#d3edea,#88d0c4,#409c93,#0b665e
R19,#c5147e,#d964a2,#ea9dcb,#fbd0e8,#f6f8f6,#def4c7,#bbe792,#86c950,#42931d
R20,#7a2684,#905a9d,#b590c2,#dcc2df,#f7f5f7,#d2efcd,#9dda9b,#55b162,#087936
R21,#af5806,#e39025,#f8c06f,#f9ddae,#fbf9f4,#cbc7e1,#9e8dbf,#6e5398,#5d2389
R22,#af162c,#d25f4d,#eb9774,#f5c2a3,#feefe4,#d1e4ef,#8bbcd9,#518dc1,#3e64ac
R23,#af162c,#d05c4b,#ea9371,#f3ba99,#ffeadb,#f0f1f2,#b5b5b5,#7f7f7f,#4d4d4d
R24,#d32f28,#f27747,#f7a85d,#f7d683,#faffc1,#f5fff3,#b4dceb,#78a5ce,#5674b4
R25,#d32f28,#f07145,#f79e59,#f5c66d,#faf0a4,#edfeb0,#b2e371,#6bc562,#00994f
R26,#d23d50,#ef6c43,#f7a55c,#f6da80,#f4ffb8,#bce799,#6dc6a6,#25a199,#4a87bd
R27,#bdddf1,#a9cee9,#97bddf,#85acd2,#749bc4,#6589b6,#5578a8,#486795,#385683
R28,#f9c784,#f4b867,#efaa48,#ef9736,#ec8129,#e36920,#cc5822,#b44b24,#9b3d22
R29,#aee1a5,#a2de95,#8ad480,#70c06b,#59aa55,#449a50,#2c8746,#1e753c,#1e6a3c
R30,#fcbeb2,#faab9b,#f89883,#f5856e,#f06f5b,#eb564c,#db3642,#c31b3c,#ac0f3b
R31,#efc8e5,#e8b8d9,#d8a7c8,#cc96b9,#bd85a9,#ae769e,#9c6a97,#8c5c8a,#7e4c79
R32,#ebdbbd,#e8d0a0,#e5c083,#e0ac68,#d39354,#c57c4e,#ba633c,#ae4a34,#9c3632
R33,#d5d5d5,#c1c4c3,#afb2b3,#9ba2a4,#899296,#778188,#68727b,#59626d,#4b525e
R34,#dbd4d0,#cac2be,#b9b1ad,#a8a09d,#978f8b,#877f7c,#776f6c,#695f5d,#58504e
R35,#bddfdf,#a4d4d5,#8bc8c8,#73b9b7,#5aa9a8,#3f9a98,#318889,#217777,#116667
R36,#bce4d8,#a2d5d1,#89c5cc,#6eb3c2,#52a2b9,#468faf,#437ca0,#3f6b94,#3a5885
R37,#ecd265,#f1bf5b,#f1aa4a,#ee9335,#ed7c21,#e0651e,#cd5023,#b24424,#9b3a26
R38,#ecd265,#d1cc5f,#b6c65b,#9bbf58,#7db656,#5faa55,#3f9a51,#2d854a,#036d35
R39,#ecd265,#efbf58,#f2ac50,#f69b4e,#f2854b,#e76f4a,#db5748,#c83c44,#b41b3f
R40,#b6d4da,#90d1e2,#7fc0e0,#6fa7d0,#548cbb,#417ab4,#3965a7,#354d8a,#31446e
R41,#ebc394,#f4b577,#f8a35a,#f88c3b,#ee6c18,#d34403,#ae3302,#8d3308,#783014
R42,#bacfb4,#a9ca9d,#94bf87,#7db272,#5fa75e,#399d4b,#1d8c3e,#0e7733,#006329
R43,#e8c0bd,#eeaca5,#f5988e,#f58174,#e76453,#d74435,#ca141a,#af0a1e,#9a0525
R44,#c3c3c3,#acacac,#969696,#808080,#6b6b6a,#565656,#424242,#303030,#1e1e1e
R45,#f3cac7,#f7b9b2,#f9a79d,#f99687,#fb8573,#f36f5b,#e1573e,#cd3922,#ba0f03
R46,#d6e9b3,#c5e4a0,#b9e48e,#a5de7a,#86cb65,#6bb75b,#55a047,#489428,#308300
R47,#f0e0c2,#f0d4a3,#f2ce89,#ecbc66,#daa663,#ca9263,#b97c5f,#b7654b,#b75137
R48,#b0d7f4,#a1c7e8,#93b8dc,#83a8ce,#7799c3,#698ab6,#5d7cab,#4f6d9c,#405f8c
R49,#f8cb6f,#f9bf5e,#f4af4b,#f1a039,#eb8f27,#d87a16,#c66501,#b95607,#ab470c
R50,#a4e387,#91d980,#7fce7a,#6fc275,#61b56f,#52a969,#449b5e,#348d50,#237f44
R51,#fdc8c2,#fab6b1,#f5a49f,#f0928c,#eb807c,#e36c6b,#da5759,#ca3e48,#b42137
R52,#acded5,#95cecd,#84bdc4,#76adbd,#699eb6,#5f90b1,#5d83ae,#5372a0,#405f8c
R53,#e9cf62,#d2cb5d,#bac75c,#a2c25d,#8abb5f,#72b362,#59aa68,#3e9659,#237f44
R54,#e6cb44,#e6bd34,#e6b027,#e6a11c,#e59310,#e08208,#da7203,#d46103,#ce4f05
R55,#e9cf62,#eebe57,#f2ac50,#f79b4e,#f2854c,#e76f4a,#da5748,#c93c44,#b41b3f
R56,#dbd4d0,#cac2be,#b9b1ad,#a8a09d,#978f8b,#877f7c,#776f6c,#695f5d,#58504e
R57,#d5d5d5,#c1c4c3,#afb2b3,#9ba2a4,#899296,#778188,#68727b,#59626d,#4b525e
R58,#38ffff,#2dffe1,#35ffc2,#4dffa2,#6dff83,#8bff62,#abff40,#ceff18,#f3ff00
R59,#5b00ff,#5755ff,#5490ff,#40cfff,#53fff4,#bdff98,#f1d523,#f98900,#fa0007
R60,#88ffff,#beffff,#ebffff,#fff7ff,#ffddff,#ffc6ff,#ffafff,#ff96ff,#ff7cff
R61,#5b00ff,#6e3efc,#9278ff,#baafff,#e7e5ff,#fdd8d9,#fc9696,#f85054,#fa0007
R62,#363ba6,#5658a7,#8081b8,#ababca,#dbdde1,#d3b5bb,#bf848f,#a64d64,#8c023c
R63,#00a737,#59ad1c,#8cb400,#b9b825,#debd51,#fac17a,#fac6a3,#fdcfcc,#f1f1f1
R64,#d13d6b,#d8595c,#dd704c,#e18739,#e3a227,#e0c135,#dcdd64,#daeb96,#dee7bd
R65,#363ba6,#454aa5,#585ba9,#6d6fb0,#8384b9,#9a9bc3,#b1b2ce,#c9cad8,#e2e2e2
R66,#480054,#4e3d86,#40618d,#32828e,#21a287,#36be72,#6cd24f,#ace023,#f3e91d
R67,#000004,#1b1034,#43076f,#852282,#bc3577,#e45164,#f68a61,#f8c488,#f7febe
R68,#2f0088,#8400a9,#ac1c95,#c63e7d,#db5e66,#eb804e,#f5a735,#f3d11c,#e4fb14
R69,#000004,#170534,#5f0970,#9a2764,#c53d4c,#e4622b,#f49a00,#efd53e,#f5ffa3
R70,#262626,#3c3c3c,#535353,#6b6b6b,#848484,#9e9e9e,#b9b9b9,#d5d5d5,#f1f1f1
R71,#53007f,#551a7c,#603483,#6e4e8d,#856b9e,#9d8ab2,#b8abc8,#d5cddf,#f3f0f6
R72,#363ba6,#474aa6,#5a5dad,#7173b7,#888ac3,#a4a2d1,#bdbbe0,#d1d6ef,#eff0fc
R73,#006e2f,#287b44,#478a59,#619a70,#7ba986,#95bc9e,#b0d0b7,#cbe4d0,#e5f4e9
R74,#8f330f,#99412b,#a55545,#b46c60,#c3857b,#d19f98,#deb9b4,#ebd4d0,#f7efee
R75,#881824,#96343b,#a54e53,#b5686c,#c48284,#d39c9e,#e2b6b8,#f0d2d2,#fdeded
R76,#363ba6,#454aa5,#585ba9,#6d6fb0,#8384b9,#9a9bc3,#b1b2ce,#c9cad8,#e2e2e2
R77,#474747,#595959,#6b6b6b,#7d7d7d,#919191,#a4a4a4,#b8b8b8,#cdcdcd,#e2e2e2
R78,#eef8fb,#c7eae3,#9ddacb,#74c8af,#53bc92,#37ad72,#19934c,#00732c,#005923
R79,#eef8fb,#cad8e9,#a3bbda,#949ecb,#9283bd,#926bb2,#9252a9,#893295,#71006c
R80,#eff9e8,#cdedc7,#9ddab4,#81cec1,#6ec2d1,#5baed2,#478fc1,#396fab,#32569e
R81,#fbf0d9,#f9e2af,#f7c890,#f8ad74,#f8935c,#ef734f,#e24d38,#c81f15,#960002
R82,#f2eef6,#d8d4e8,#b6c2de,#93b2d5,#6ba0ca,#478bbf,#3777b6,#3262a3,#234d7b
R83,#f7eff7,#d4d2e7,#acbddb,#7faed2,#5494c4,#3685af,#238293,#107c72,#026450
R84,#f2eef6,#ddc6e2,#cd9fce,#d082c0,#df65b2,#e73a9a,#df0c74,#c30e4f,#900040
R85,#fcebe2,#facac3,#f9aeb9,#f992b1,#f872a5,#ef4d9f,#d01e91,#9e0077,#7d0078
R86,#faffcb,#e4f8ae,#bee897,#94d686,#66c373,#32aa5a,#168c46,#126f38,#005b31
R87,#faffcb,#bee8b3,#8fd4b7,#61c0c1,#42a8c5,#3e8bbf,#406db2,#3c4d9f,#2d2984
R88,#fbffd4,#f9eda8,#f6db7a,#f6c750,#f9ab32,#f3881f,#da5f0c,#b03900,#892d05
R89,#f8ffb1,#f6e585,#f7c85f,#f7aa45,#f78b3b,#fd6d34,#f13f27,#cb0019,#ae0027
R90,#f0f3ff,#ccdcf0,#a3cae1,#82b6da,#649ece,#4c86c1,#4171b6,#3a5ba9,#304394
R91,#ecf8e9,#d1eecc,#b3e3b0,#94d693,#6dc575,#36ad5c,#128c44,#0e6d33,#005b31
R92,#f7f7f7,#dadada,#bdbdbd,#a1a1a1,#868686,#6c6c6c,#535353,#3b3b3b,#252525
R93,#fcedde,#f9dab3,#f7c38b,#f7ac66,#f89445,#f1751f,#d64a04,#ae2605,#892d05
R94,#f3f0f7,#d4d2e7,#b9b5d8,#a297c7,#897dbb,#7a64ae,#7149a1,#672d93,#550a87
R95,#fce5d9,#f9cbb4,#f8b194,#f89878,#f77f5e,#f66245,#ea392d,#bd0d1c,#96000f
R96,#885109,#b78937,#d5b96a,#eadda6,#fbf3e7,#d2edea,#84ccc2,#3e9c95,#0b665e
R97,#c5147e,#cc619f,#e599c3,#fbcee5,#f7f7f7,#e0f4c9,#beeb93,#8cd15c,#42931d
R98,#7a2684,#9461ab,#b68fc5,#dabedd,#f7f2f7,#d8f1d4,#a0d79c,#61b167,#087936
R99,#af5806,#e59b34,#f5c06e,#fae0b5,#f9f9f6,#c6c3df,#9f8ec4,#805caa,#5d2389
R100,#af162c,#db6548,#ed946b,#f4bc9b,#feebde,#d8e8f2,#8fbcd9,#5792c4,#3e64ac
R101,#af162c,#dd674b,#eb9067,#f0b38f,#fee6d6,#f3f5f5,#b5b4b3,#828383,#4d4d4d
R102,#d32f28,#f2774f,#f9aa65,#f7d784,#f9ffc0,#f3fff1,#c1dcef,#74a3c8,#5674b4
R103,#d32f28,#f27151,#f7a05c,#f5c86c,#faf1a6,#ecfeaf,#b1e26f,#62c057,#00994f
R104,#d23d50,#f47a5b,#f6ae5a,#f7e089,#f2ffb3,#afe189,#42beb8,#009fe4,#4a87bd
R105,#eb008d,#ed3897,#ee55a1,#f06daa,#f183b5,#f498c1,#f6accd,#f8c1da,#fad5e5
R106,#232373,#381099,#4518b0,#5034be,#5e55c8,#7477d3,#9a9be5,#c5bef7,#e3dfff
R107,#165829,#306c41,#448357,#599b6e,#70b186,#8bc49d,#a8d4b5,#c3e4cf,#dcf5e9
R108,#536a30,#6a8641,#80a350,#97bf5e,#afde6b,#c8fb7b,#deff90,#ebffab,#e8fdcb
R109,#e6ebb4,#c8d991,#a6da93,#83d99e,#62d1a7,#44bea6,#359f96,#387372,#353836
R110,#e17432,#e2932d,#f4bd5a,#ffe495,#fff8c3,#eae6c8,#b7b3a0,#867e6d,#6d614c
R111,#f6f76b,#f6df2a,#f6c608,#f8ac10,#f99111,#f97514,#fa581e,#fa392e,#fb1047
R112,#372720,#4a2c1f,#6a3a25,#905032,#b96c47,#da8964,#eca687,#eebda5,#e0cbaf
